name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,"runtime,,"
Rising Sun,R,Action,1993,"July 30, 1993 (United States)",6.3,43000,PHILIP KAUFMAN,Michael Crichton,Sean Connery,UNITED STATES,35000000,107198790.0,Twentieth Century Fox,"129.0,"
For Love or Money,PG,Comedy,1993,"October 1, 1993 (United States)",6.2,13000,BARRY SONNENFELD,Mark Rosenthal,Michael J. Fox,UNITED STATES,30000000,11146270.0,Universal Pictures,"96.0,"
Teenage Mutant Ninja Turtles III,PG,Action,1993,"March 19, 1993 (United States)",4.8,32000,STUART GILLARD,Kevin Eastman,Elias Koteas,UNITED STATES,21000000,42273609.0,Golden Harvest Company,"96.0,"
Body Snatchers,R,Horror,1993,"February 18, 1994 (United States)",6.0,17000,ABEL FERRARA,Jack Finney,Gabrielle Anwar,UNITED STATES,13000000,428868.0,Dorset Productions,"87.0,"
Stalingrad,Not Rated,Drama,1993,"January 21, 1993 (Germany)",7.5,32000,JOSEPH VILSMAIER,Jürgen Büscher,Dominique Horwitz,GERMANY,0,152972.0,B.A. Produktion,"134.0,"
Airborne,PG,Adventure,1993,"September 17, 1993 (United States)",6.3,6500,ROB BOWMAN,Bill Apablasa,Shane McDermott,UNITED STATES,2600000,2850263.0,Icon Entertainment International,"91.0,"
The Thing Called Love,PG-13,Comedy,1993,"August 27, 1993 (United States)",6.4,7400,PETER BOGDANOVICH,Carol Heikkinen,River Phoenix,UNITED STATES,14000000,1029721.0,Paramount Pictures,"116.0,"
The Vanishing,R,Drama,1993,"February 5, 1993 (United States)",6.3,24000,GEORGE SLUIZER,Tim Krabbé,Jeff Bridges,UNITED STATES,0,14543394.0,Twentieth Century Fox,"109.0,"
The House of the Spirits,R,Drama,1993,"April 1, 1994 (United States)",6.9,22000,BILLE AUGUST,Isabel Allende,Jeremy Irons,PORTUGAL,40000000,6265311.0,Constantin Film,"140.0,"
Undercover Blues,PG-13,Comedy,1993,"September 10, 1993 (United States)",6.1,7700,HERBERT ROSS,Ian Abrams,Kathleen Turner,UNITED STATES,0,12324660.0,Metro-Goldwyn-Mayer (MGM),"90.0,"
Little Buddha,PG,Drama,1993,"May 25, 1994 (United States)",6.1,16000,BERNARDO BERTOLUCCI,Bernardo Bertolucci,Keanu Reeves,FRANCE,35000000,4858139.0,CiBy 2000,"123.0,"
Dragon,PG-13,Action,1993,"May 7, 1993 (United States)",7.0,29000,ROB COHEN,Robert Clouse,Jason Scott Lee,UNITED STATES,14000000,63513743.0,Raffaella De Laurentiis Productions,"120.0,"
Poetic Justice,R,Drama,1993,"July 23, 1993 (United States)",6.1,13000,JOHN SINGLETON,John Singleton,Janet Jackson,UNITED STATES,14000000,27515786.0,Columbia Pictures,"109.0,"
The Joy Luck Club,R,Drama,1993,"October 29, 1993 (United States)",7.7,16000,WAYNE WANG,Amy Tan,Tamlyn Tomita,UNITED STATES,11000000,32901136.0,Hollywood Pictures,"139.0,"
The Cement Garden,Not Rated,Drama,1993,"February 11, 1994 (United States)",7.1,4500,ANDREW BIRKIN,Andrew Birkin,Charlotte Gainsbourg,FRANCE,0,322975.0,British Broadcasting Corporation (BBC),"101.0,"
Untamed Heart,PG-13,Drama,1993,"February 12, 1993 (United States)",6.8,13000,TONY BILL,Tom Sierchio,Christian Slater,UNITED STATES,7500000,18898806.0,Metro-Goldwyn-Mayer (MGM),"102.0,"
Batman: Mask of the Phantasm,PG,Animation,1993,"December 25, 1993 (United States)",7.8,45000,DIRECTORS,Alan Burnett,Kevin Conroy,UNITED STATES,6000000,5635204.0,Warner Bros. Animation,"76.0,"
Freaked,PG-13,Comedy,1993,"March 31, 1994 (Australia)",6.4,6700,TOM STERN,Tim Burns,Brooke Shields,UNITED STATES,11000000,29296.0,Chiodo Brothers Productions,"80.0,"
Swing Kids,PG-13,Drama,1993,"March 5, 1993 (United States)",6.8,16000,THOMAS CARTER,Jonathan Marc Feldman,Robert Sean Leonard,UNITED STATES,0,5632086.0,Hollywood Pictures,"112.0,"
Heart and Souls,PG-13,Comedy,1993,"August 13, 1993 (United States)",7.0,17000,RON UNDERWOOD,Gregory Hansen,Robert Downey Jr.,UNITED STATES,25000000,16589540.0,Universal Pictures,"104.0,"
Needful Things,R,Crime,1993,"August 27, 1993 (United States)",6.3,24000,FRASER C. HESTON,Stephen King,Max von Sydow,UNITED STATES,0,15185672.0,Castle Rock Entertainment,"120.0,"
Ruby in Paradise,R,Drama,1993,"November 5, 1993 (United States)",7.0,2500,VICTOR NUNEZ,Jane Austen,Ashley Judd,UNITED STATES,800000,1001437.0,Full Crew/Say Yea,"114.0,"
Six Degrees of Separation,R,Comedy,1993,"December 8, 1993 (United States)",6.8,20000,FRED SCHEPISI,John Guare,Will Smith,UNITED STATES,12000000,6405918.0,Metro-Goldwyn-Mayer (MGM),"112.0,"
The Man Without a Face,PG-13,Drama,1993,"August 25, 1993 (United States)",6.7,28000,MEL GIBSON,Isabelle Holland,Mel Gibson,UNITED STATES,0,24760338.0,Icon Entertainment International,"115.0,"
Farewell My Concubine,R,Drama,1993,"October 15, 1993 (United States)",8.1,26000,KAIGE CHEN,Pik-Wah Lee,Leslie Cheung,CHINA,4000000,6122607.0,Tomson Films,"171.0,"
Sniper,R,Action,1993,"January 29, 1993 (United States)",6.1,23000,LUIS LLOSA,Michael Frost Beckner,Tom Berenger,UNITED STATES,0,18994653.0,Baltimore Pictures,"98.0,"
Judgment Night,R,Action,1993,"October 15, 1993 (United States)",6.6,16000,STEPHEN HOPKINS,Lewis Colick,Emilio Estevez,JAPAN,21000000,12526677.0,Largo Entertainment,"110.0,"
Shadowlands,PG,Biography,1993,"January 14, 1994 (United States)",7.3,18000,RICHARD ATTENBOROUGH,William Nicholson,Anthony Hopkins,UNITED KINGDOM,22000000,25842377.0,Price Entertainment,"131.0,"
Arizona Dream,R,Comedy,1993,"September 9, 1994 (United States)",7.3,42000,EMIR KUSTURICA,David Atkins,Johnny Depp,FRANCE,19000000,112547.0,Canal+,"142.0,"
Nowhere to Run,R,Action,1993,"January 15, 1993 (United States)",5.7,22000,ROBERT HARMON,Joe Eszterhas,Jean-Claude Van Damme,UNITED STATES,15000000,22189039.0,Columbia Pictures,"94.0,"
King of the Hill,PG-13,Drama,1993,"August 20, 1993 (United States)",7.4,7800,STEVEN SODERBERGH,A.E. Hotchner,Jesse Bradford,UNITED STATES,8000000,1214231.0,Wildwood Enterprises,"103.0,"
Mad Dog and Glory,R,Comedy,1993,"March 5, 1993 (United States)",6.2,21000,JOHN MCNAUGHTON,Richard Price,Robert De Niro,UNITED STATES,19000000,11081586.0,Universal Pictures,"97.0,"
We're Back! A Dinosaur's Story,G,Animation,1993,"November 24, 1993 (United States)",6.1,14000,DIRECTORS,John Patrick Shanley,John Goodman,UNITED STATES,0,9317021.0,Universal Pictures,"72.0,"
Red Rock West,R,Crime,1993,"May 14, 1993 (Italy)",7.0,21000,JOHN DAHL,John Dahl,Nicolas Cage,UNITED STATES,8000000,2502551.0,Propaganda Films,"98.0,"
The Program,R,Action,1993,"September 24, 1993 (United States)",6.5,9700,DAVID S. WARD,David S. Ward,James Caan,UNITED STATES,15000000,23032565.0,Touchstone Pictures,"112.0,"
Ghost in the Machine,R,Horror,1993,"December 29, 1993 (United States)",4.6,3400,RACHEL TALALAY,William Davies,Karen Allen,UNITED STATES,12000000,5086909.0,Twentieth Century Fox,"95.0,"
Fearless,R,Drama,1993,"November 5, 1993 (United States)",7.1,22000,PETER WEIR,Rafael Yglesias,Jeff Bridges,UNITED STATES,0,6995302.0,Spring Creek Productions,"122.0,"
Manhattan Murder Mystery,PG,Comedy,1993,"August 18, 1993 (United States)",7.3,41000,WOODY ALLEN,Woody Allen,Woody Allen,UNITED STATES,13500000,11330911.0,TriStar Pictures,"104.0,"
Surf Ninjas,PG,Action,1993,"August 20, 1993 (United States)",5.1,7700,NEAL ISRAEL,Dan Gordon,Ernie Reyes Sr.,UNITED STATES,0,4916135.0,New Line Cinema,"87.0,"
Weekend at Bernie's II,PG,Adventure,1993,"July 9, 1993 (United States)",4.8,13000,ROBERT KLANE,Robert Klane,Andrew McCarthy,UNITED STATES,7000000,12741891.0,Artimm,"97.0,"
Les visiteurs,R,Comedy,1993,"July 12, 1996 (United States)",7.1,33000,JEAN-MARIE POIRÉ,Christian Clavier,Christian Clavier,FRANCE,0,659810.0,Alpilles Productions,"107.0,"
The Adventures of Huck Finn,PG,Adventure,1993,"April 2, 1993 (United States)",6.2,8000,STEPHEN SOMMERS,Mark Twain,Elijah Wood,UNITED STATES,6500000,24103594.0,Steve White Productions,"108.0,"
Made in America,PG-13,Comedy,1993,"May 28, 1993 (United States)",5.1,16000,RICHARD BENJAMIN,Marcia Brandwynne,Whoopi Goldberg,UNITED STATES,22000000,104942695.0,Canal+,"111.0,"
Dream Lover,R,Drama,1993,"May 6, 1994 (United States)",6.2,4500,NICHOLAS KAZAN,Nicholas Kazan,James Spader,UNITED STATES,0,256264.0,PolyGram Filmed Entertainment,"103.0,"
M. Butterfly,R,Drama,1993,"October 1, 1993 (United States)",6.8,9000,DAVID CRONENBERG,David Henry Hwang,Jeremy Irons,UNITED STATES,0,1498795.0,Geffen Pictures,"101.0,"
The Dark Half,R,Horror,1993,"April 23, 1993 (United States)",6.0,16000,GEORGE A. ROMERO,Stephen King,Timothy Hutton,UNITED STATES,15000000,10611160.0,Orion Pictures,"122.0,"
Only the Strong,PG-13,Action,1993,"August 27, 1993 (United States)",6.6,5900,SHELDON LETTICH,Sheldon Lettich,Mark Dacascos,FRANCE,6000000,3283371.0,August Entertainment,"99.0,"
My Life,PG-13,Drama,1993,"November 12, 1993 (United States)",6.8,11000,BRUCE JOEL RUBIN,Bruce Joel Rubin,Michael Keaton,UNITED STATES,15000000,27804899.0,Capella Films,"117.0,"
Mi vida loca,R,Crime,1993,"July 15, 1994 (United States)",6.5,2000,ALLISON ANDERS,Allison Anders,Angel Aviles,UNITED STATES,0,3267313.0,Channel Four Films,"92.0,"
Look Who's Talking Now,PG-13,Comedy,1993,"November 5, 1993 (United States)",4.4,28000,TOM ROPELEWSKI,Tom Ropelewski,John Travolta,UNITED STATES,22000000,10340263.0,TriStar Pictures,"96.0,"
The Meteor Man,PG,Action,1993,"August 6, 1993 (United States)",5.2,7800,ROBERT TOWNSEND,Robert Townsend,Robert Townsend,UNITED STATES,20000000,8016708.0,Metro-Goldwyn-Mayer (MGM),"100.0,"
Fatal Instinct,PG-13,Comedy,1993,"October 29, 1993 (United States)",5.8,7000,CARL REINER,David O'Malley,Armand Assante,UNITED STATES,0,7839327.0,Metro-Goldwyn-Mayer (MGM),"91.0,"
CB4,R,Comedy,1993,"March 12, 1993 (United States)",6.3,9000,TAMRA DAVIS,Chris Rock,Chris Rock,UNITED STATES,6000000,17953778.0,Imagine Entertainment,"89.0,"
Calendar Girl,PG-13,Comedy,1993,"September 3, 1993 (United States)",5.1,2100,JOHN WHITESELL,Paul W. Shapiro,Jason Priestley,UNITED STATES,13000000,2570550.0,Parkway Productions,"90.0,"
Heaven & Earth,R,Action,1993,"January 7, 1994 (United States)",6.8,14000,OLIVER STONE,Le Ly Hayslip,Hiep Thi Le,UNITED STATES,33000000,5864949.0,Alcor Films,"140.0,"
Indian Summer,PG-13,Comedy,1993,"April 23, 1993 (United States)",6.6,5300,MIKE BINDER,Mike Binder,Alan Arkin,CANADA,9000000,14904910.0,Outlaw Productions (I),"97.0,"
Once Upon a Forest,G,Animation,1993,"June 18, 1993 (United States)",6.5,5200,CHARLES GROSVENOR,Rae Lambert,Michael Crawford,UNITED KINGDOM,13000000,6582052.0,Hanna-Barbera Productions,"71.0,"
Posse,R,Western,1993,"May 14, 1993 (United States)",5.5,4200,MARIO VAN PEEBLES,Sy Richardson,Mario Van Peebles,UNITED KINGDOM,10000000,18289763.0,PolyGram Filmed Entertainment,"111.0,"
Flesh and Bone,R,Drama,1993,"November 5, 1993 (United States)",6.2,5000,STEVE KLOVES,Steve Kloves,Dennis Quaid,UNITED STATES,0,9709451.0,Mirage Enterprises,"126.0,"
Sommersby,PG-13,Drama,1993,"February 5, 1993 (United States)",6.2,20000,JON AMIEL,Daniel Vigne,Richard Gere,FRANCE,0,140081992.0,Canal+,"114.0,"
Even Cowgirls Get the Blues,R,Comedy,1993,"May 20, 1994 (United States)",4.4,7100,GUS VAN SANT,Tom Robbins,Uma Thurman,UNITED STATES,8000000,1708873.0,New Line Cinema,"106.0,"
Life with Mikey,PG,Comedy,1993,"June 4, 1993 (United States)",5.6,5600,JAMES LAPINE,Marc Lawrence,Michael J. Fox,UNITED STATES,0,12440858.0,Touchstone Pictures,"91.0,"
Best of the Best II,R,Action,1993,"March 5, 1993 (United States)",5.6,5400,ROBERT RADLER,Max Strom,Eric Roberts,UNITED STATES,7000000,6608687.0,Picture Securities,"101.0,"
The Thief and the Cobbler,G,Animation,1993,"August 25, 1995 (United States)",7.1,3700,RICHARD WILLIAMS,Richard Williams,Vincent Price,UNITED KINGDOM,25000000,669276.0,Richard Williams Productions,"90.0,"
My Boyfriend's Back,PG-13,Comedy,1993,"August 6, 1993 (United States)",5.4,4300,BOB BALABAN,Dean Lorey,Andrew Lowery,UNITED STATES,12000000,3335984.0,Touchstone Pictures,"85.0,"
Warlock: The Armageddon,R,Action,1993,"September 24, 1993 (United States)",5.4,5700,ANTHONY HICKOX,Kevin Rock,Julian Sands,UNITED STATES,3000000,3902679.0,Trimark Pictures,"98.0,"
The Scent of Green Papaya,Not Rated,Drama,1993,"January 28, 1994 (United States)",7.4,8300,ANH HUNG TRAN,Anh Hung Tran,Nu Yên-Khê Tran,VIETNAM,0,1700992.0,Les Productions Lazennec,"104.0,"
Kika,Unrated,Comedy,1993,"May 6, 1994 (United States)",6.5,13000,PEDRO ALMODÓVAR,Pedro Almodóvar,Peter Coyote,SPAIN,0,2019581.0,El Deseo,"114.0,"
Wide Sargasso Sea,NC-17,Drama,1993,"April 16, 1993 (United States)",5.7,1900,JOHN DUIGAN,Jan Sharp,Karina Lombard,AUSTRALIA,0,1614784.0,Laughing Kookaburra Productions,"98.0,"
Iron Monkey,PG-13,Action,1993,"October 12, 2001 (United States)",7.5,16000,WOO-PING YUEN,Tan Cheung,Rongguang Yu,HONG KONG,11000000,14694904.0,Film Workshop,"85.0,"
Mr. Nanny,PG,Action,1993,"October 8, 1993 (United States)",3.8,8900,MICHAEL GOTTLIEB,Edward Rugoff,Hulk Hogan,UNITED STATES,10000000,4348572.0,New Line Cinema,"84.0,"
The Real McCoy,PG-13,Crime,1993,"September 10, 1993 (United States)",5.5,8500,RUSSELL MULCAHY,Desmond Lowden,Kim Basinger,UNITED STATES,0,6484246.0,Bregman/Baer Productions,"105.0,"
3 Ninjas: Knuckle Up,PG-13,Action,1993,"April 7, 1995 (United States)",4.3,5400,SANG-OK SHIN,Alex S. Kim,Victor Wong,UNITED STATES,0,413479.0,Sheen Productions,"85.0,"
Father Hood,PG-13,Adventure,1993,"August 27, 1993 (United States)",4.9,2900,DARRELL ROODT,Scott Spencer,Patrick Swayze,UNITED STATES,0,3418141.0,Hollywood Pictures,"95.0,"
"Faraway, So Close!",PG-13,Drama,1993,"December 21, 1993 (United States)",7.3,7800,WIM WENDERS,Wim Wenders,Otto Sander,GERMANY,10500000,810455.0,Road Movies Filmproduktion,"140.0,"
Dangerous Game,R,Drama,1993,"November 19, 1993 (United States)",5.6,3600,ABEL FERRARA,Nicholas St. John,Harvey Keitel,ITALY,10000000,1261210.0,Cecchi Gori Europa N.V.,"108.0,"
Deadfall,R,Crime,1993,"October 8, 1993 (United States)",4.0,3000,CHRISTOPHER COPPOLA,Christopher Coppola,Michael Biehn,UNITED STATES,10000000,18369.0,Trimark Pictures,"98.0,"
A Home of Our Own,PG,Biography,1993,"November 5, 1993 (United States)",7.1,3000,TONY BILL,Patrick Sheane Duncan,Kathy Bates,UNITED STATES,12000000,1677807.0,A&M Films,"104.0,"
A Far Off Place,PG,Adventure,1993,"March 12, 1993 (United States)",6.6,3400,MIKAEL SALOMON,Lourens van der Post,Reese Witherspoon,UNITED STATES,0,12890752.0,Walt Disney Pictures,"108.0,"
Guilty as Sin,R,Crime,1993,"June 4, 1993 (United States)",5.6,4900,SIDNEY LUMET,Larry Cohen,Rebecca De Mornay,UNITED STATES,12000000,22866222.0,Hollywood Pictures,"107.0,"
The Wedding Banquet,R,Comedy,1993,"August 4, 1993 (United States)",7.6,14000,ANG LEE,Ang Lee,Winston Chao,TAIWAN,1000000,6933459.0,Ang Lee Productions,"106.0,"
Another Stakeout,PG-13,Comedy,1993,"July 23, 1993 (United States)",5.6,13000,JOHN BADHAM,Jim Kouf,Richard Dreyfuss,UNITED STATES,0,20208496.0,Touchstone Pictures,"108.0,"
Aspen Extreme,PG-13,Drama,1993,"January 22, 1993 (United States)",6.0,2800,PATRICK HASBURGH,Patrick Hasburgh,Paul Gross,UNITED STATES,14000000,8041049.0,Hollywood Pictures,"113.0,"
Suture,Not Rated,Drama,1993,"August 24, 1994 (France)",6.6,1800,SCOTT MCGEHEE,Scott McGehee,Dennis Haysbert,UNITED STATES,0,102780.0,Kino Korsakoff,"96.0,"
Blink,R,Crime,1993,"January 26, 1994 (United States)",6.2,8000,MICHAEL APTED,Dana Stevens,Madeleine Stowe,UNITED STATES,11000000,16696219.0,New Line Cinema,"106.0,"
Where the Rivers Flow North,PG-13,Drama,1993,"March 4, 1994 (United States)",6.7,464,JAY CRAVEN,Howard Frank Mosher,Rip Torn,UNITED STATES,0,595505.0,Caledonia Pictures,"106.0,"
Sugar Hill,R,Crime,1993,"February 25, 1994 (United States)",5.9,4300,LEON ICHASO,Barry Michael Cooper,Wesley Snipes,UNITED STATES,10000000,18225518.0,Beacon Communications,"123.0,"
Man's Best Friend,R,Comedy,1993,"November 19, 1993 (United States)",5.2,4100,JOHN LAFIA,John Lafia,Ally Sheedy,UNITED STATES,6000000,12974636.0,New Line Cinema,"87.0,"
Mr. Jones,R,Drama,1993,"October 8, 1993 (United States)",5.8,6900,MIKE FIGGIS,Eric Roth,Richard Gere,UNITED STATES,25000000,8345845.0,Rastar Productions,"114.0,"
Carnosaur,R,Horror,1993,"May 21, 1993 (United States)",3.6,3700,ADAM SIMON,John Brosnan,Diane Ladd,UNITED STATES,850000,1753979.0,New Horizons Picture,"83.0,"
Mr. Wonderful,PG-13,Comedy,1993,"October 15, 1993 (United States)",5.9,3200,ANTHONY MINGHELLA,Amy Schor Ferris,Matt Dillon,UNITED STATES,13000000,3125424.0,Night Life Inc.,"98.0,"
Cop & ½,PG,Comedy,1993,"April 2, 1993 (United States)",4.1,8300,HENRY WINKLER,Arne Olsen,Burt Reynolds,UNITED STATES,14000000,40689691.0,Imagine Films Entertainment,"97.0,"
Caro diario,Unrated,Biography,1993,"September 30, 1994 (United States)",7.3,7400,NANNI MORETTI,Nanni Moretti,Nanni Moretti,ITALY,0,225278.0,Sacher Film,"100.0,"
Jack the Bear,PG-13,Comedy,1993,"April 2, 1993 (United States)",6.5,3900,MARSHALL HERSKOVITZ,Dan McCall,Danny DeVito,UNITED STATES,0,5145823.0,Twentieth Century Fox,"99.0,"
Money for Nothing,R,Comedy,1993,"September 10, 1993 (United States)",5.7,3700,RAMÓN MENÉNDEZ,Mark Bowden,John Cusack,UNITED STATES,11000000,1039824.0,Permut Presentations,"100.0,"
Naked in New York,R,Comedy,1993,"April 13, 1994 (United States)",5.6,1600,DANIEL ALGRANT,Daniel Algrant,Eric Stoltz,UNITED STATES,0,1038959.0,Some Film,"95.0,"
Son of the Pink Panther,PG,Comedy,1993,"August 27, 1993 (United States)",3.9,5000,BLAKE EDWARDS,Maurice Richlin,Roberto Benigni,ITALY,25000000,2438031.0,Filmauro,"93.0,"
Jung on zo,R,Action,1993,"June 24, 1993 (Hong Kong)",6.8,6100,KIRK WONG,Tin Nam Chun,Jackie Chan,HONG KONG,0,3741869.0,Golden Harvest Company,"103.0,"
Totally F***ed Up,Unrated,Comedy,1993,"January 13, 1995 (United Kingdom)",6.4,3000,GREGG ARAKI,Gregg Araki,James Duval,UNITED STATES,0,101071.0,Blurco,"78.0,"
"Bodies, Rest & Motion",R,Drama,1993,"April 9, 1993 (United States)",5.7,2200,MICHAEL STEINBERG,Roger Hedden,Phoebe Cates,UNITED STATES,2500000,764724.0,Fine Line Features,"95.0,"
House of Cards,PG-13,Drama,1993,"June 25, 1993 (United States)",6.2,2600,MICHAEL LESSAC,Michael Lessac,Kathleen Turner,ITALY,0,322871.0,A&M Films,"109.0,"
Bhaji on the Beach,R,Comedy,1993,May 1994 (United States),6.4,1100,GURINDER CHADHA,Gurinder Chadha,Kim Vithana,UNITED KINGDOM,0,735162.0,Channel Four Films,"101.0,,"
Silent Tongue,PG-13,Drama,1993,"January 27, 1995 (United Kingdom)",5.3,1100,SAM SHEPARD,Sam Shepard,Alan Bates,FRANCE,0,61274.0,Belbo Films,"102.0,"
Amos & Andrew,PG-13,Comedy,1993,"March 5, 1993 (United States)",5.7,8600,E. MAX FRYE,E. Max Frye,Nicolas Cage,UNITED STATES,0,9745803.0,Castle Rock Entertainment,"96.0,"
Splitting Heirs,PG-13,Comedy,1993,"April 30, 1993 (United States)",5.5,4100,ROBERT YOUNG,Eric Idle,Eric Idle,UNITED KINGDOM,0,3246063.0,Prominent Features,"87.0,"
Born Yesterday,PG,Comedy,1993,"March 26, 1993 (United States)",5.2,3700,LUIS MANDOKI,Garson Kanin,Melanie Griffith,UNITED STATES,0,17952857.0,Hollywood Pictures,"100.0,"
Mother's Boys,R,Drama,1993,"March 18, 1994 (United States)",5.4,3000,YVES SIMONEAU,Bernard Taylor,Jamie Lee Curtis,UNITED STATES,8000000,737548.0,Miramax,"96.0,"
The Nutcracker,G,Family,1993,"November 24, 1993 (United States)",5.9,1900,EMILE ARDOLINO,Susan Cooper,Darci Kistler,UNITED STATES,19000000,2119994.0,Krasnow Productions,"92.0,"
Philadelphia Experiment II,PG-13,Action,1993,"June 4, 1994 (South Korea)",4.5,1900,STEPHEN CORNWELL,Wallace C. Bennett,Brad Johnson,UNITED STATES,5000000,2970.0,Trimark Pictures,"97.0,"
Fear of a Black Hat,R,Comedy,1993,"June 3, 1994 (United States)",7.2,3900,RUSTY CUNDIEFF,Rusty Cundieff,Larry B. Scott,UNITED STATES,999999,233824.0,Incorporated Television Company (ITC),"88.0,"
Boiling Point,R,Action,1993,"April 16, 1993 (United States)",5.0,5700,JAMES B. HARRIS,Gerald Petievich,Wesley Snipes,UNITED STATES,9000000,10058318.0,StudioCanal,"92.0,"
A Dangerous Woman,R,Drama,1993,"December 3, 1993 (United States)",5.8,1600,STEPHEN GYLLENHAAL,Mary McGarry Morris,Debra Winger,UNITED STATES,0,1497222.0,Island World,"102.0,"
Josh and S.A.M.,PG-13,Adventure,1993,"November 24, 1993 (United States)",5.7,1400,BILLY WEBER,Frank Deese,Jacob Tierney,UNITED STATES,18000000,1640220.0,Castle Rock Entertainment,"96.0,"
Ethan Frome,PG,Drama,1993,"March 12, 1993 (United States)",6.2,2000,JOHN MADDEN,Richard Nelson,Liam Neeson,UNITED KINGDOM,0,296081.0,American Playhouse,"99.0,"
The Night We Never Met,R,Comedy,1993,"April 30, 1993 (United States)",6.0,2400,WARREN LEIGHT,Warren Leight,Matthew Broderick,UNITED STATES,8000000,1884814.0,Miramax,"99.0,"
The Shawshank Redemption,R,Drama,1994,"October 14, 1994 (United States)",9.3,2400000,FRANK DARABONT,Stephen King,Tim Robbins,UNITED STATES,25000000,28817291.0,Castle Rock Entertainment,"142.0,"
Pulp Fiction,R,Crime,1994,"October 14, 1994 (United States)",8.9,1900000,QUENTIN TARANTINO,Quentin Tarantino,John Travolta,UNITED STATES,8000000,213928762.0,Miramax,"154.0,"
Forrest Gump,PG-13,Drama,1994,"July 6, 1994 (United States)",8.8,1900000,ROBERT ZEMECKIS,Winston Groom,Tom Hanks,UNITED STATES,55000000,678226133.0,Paramount Pictures,"142.0,"
Léon: The Professional,R,Action,1994,"November 18, 1994 (United States)",8.5,1100000,LUC BESSON,Luc Besson,Jean Reno,FRANCE,0,19552639.0,Gaumont,"110.0,"
True Lies,R,Action,1994,"July 15, 1994 (United States)",7.2,243000,JAMES CAMERON,Claude Zidi,Arnold Schwarzenegger,UNITED STATES,115000000,378882411.0,Twentieth Century Fox,"141.0,"
The Lion King,G,Animation,1994,"June 24, 1994 (United States)",8.5,970000,ROGER ALLERS,Irene Mecchi,Matthew Broderick,UNITED STATES,45000000,1083720877.0,Walt Disney Pictures,"88.0,"
